subject_id,label
1230,treatment
1070,treatment
1314,treatment
1063,control
1137,control
1354,control
1300,treatment
1350,treatment
1186,control
1287,control
1338,control
1330,treatment
1191,control
1037,treatment
1340,treatment
1190,control
1052,control
1068,control
1053,treatment
1269,treatment
1267,control
1118,treatment
1196,treatment
1116,control
1291,control
1093,treatment
1029,control
1125,treatment
1062,treatment
1294,control
1334,treatment
1239,control
1160,treatment
1198,control
1225,treatment
1006,treatment
1326,control
1094,control
1075,control
1017,treatment
1174,treatment
1331,control
1242,control
1304,treatment
1328,control
1327,control
1298,control
1021,treatment
1080,control
1241,treatment
1322,control
1024,treatment
1240,treatment
1001,treatment
1286,control
1237,treatment
1258,treatment
1236,control
1153,control
1247,control
1276,treatment
1026,treatment
1027,treatment
1214,treatment
1084,treatment
1303,control
1163,treatment
1031,control
1318,treatment
1189,treatment
1131,treatment
1227,control
1036,treatment
1317,control
1251,control
1042,control
1359,treatment
1209,control
1112,control
1355,control
1173,control
1102,control
1222,control
1315,treatment
1100,control
1168,control
1347,treatment
1346,control
1061,treatment
1268,control
1210,treatment
1277,treatment
1159,treatment
1235,treatment
1275,treatment
1259,treatment
1178,control
1310,control
1321,treatment
1188,control
1199,control
1139,control
1336,control
1067,control
1035,treatment
1171,treatment
1073,treatment
1047,control
1351,treatment
1134,treatment
1219,treatment
1009,treatment
1341,control
1337,control
1206,control
1003,treatment
1089,control
1325,treatment
1156,treatment
1179,control
1034,treatment
1348,treatment
1165,treatment
1114,control
1281,treatment
1038,treatment
1078,treatment
1005,treatment
1284,treatment
1079,treatment
1095,control
1167,treatment
1106,control
1065,treatment
1154,treatment
1226,treatment
1246,control
1232,control
1220,control
1115,control
1155,treatment
1358,control
1273,treatment
1270,treatment
1282,control
1050,control
1014,treatment
1066,control
1357,treatment
1194,control
1218,treatment
1140,control
1051,control
1120,control
1352,treatment
1010,treatment
1015,control
1150,control
1297,control
1044,treatment
1211,treatment
1172,control
1136,treatment
1128,treatment
1228,treatment
1143,treatment
1180,treatment
1109,treatment
1187,control
1146,treatment
1117,control
1085,treatment
1054,control
1271,control
1278,treatment
1177,treatment
1301,control
1223,treatment
1224,treatment
1105,treatment
1025,control
1316,treatment
1142,treatment
1279,treatment
1099,control
1055,control
1032,treatment
1162,control
1138,control
1256,control
1244,treatment
1022,treatment
1185,treatment
1098,control
1305,control
1292,treatment
1319,treatment
1309,control
1129,control
1212,control
1081,control
1004,control
1124,treatment
1018,treatment
1043,control
1193,control
1020,treatment
1257,treatment
1049,treatment
1204,control
1252,treatment
1045,treatment
1250,treatment
1158,treatment
1302,treatment
1064,control
1264,treatment
1166,control
1039,control
1092,treatment
1313,treatment
1127,control
1149,treatment
1283,control
1135,control
1339,treatment
1048,control
1333,treatment
1203,treatment
1175,treatment
1007,control
1088,treatment
1192,treatment
1132,control
1249,control
1013,control
1238,control
1329,treatment
1002,treatment
1041,treatment
1077,treatment
1248,treatment
1011,treatment
1332,control
1145,control
1023,control
1058,treatment
1130,treatment
1353,control
1121,control
1307,treatment
1207,control
1349,control
1074,treatment
1295,treatment
1170,control
1046,control
1060,control
1033,control
1231,treatment
1260,control
1243,treatment
1272,control
1197,treatment
1311,control
1000,treatment
1097,control
1217,control
1072,control
1147,control
1201,control
1152,control
1069,control
1086,control
1183,control
1113,control
1012,treatment
1030,control
1090,treatment
1176,treatment
1169,treatment
1324,control
1229,treatment
1108,treatment
1107,treatment
1254,control
1019,control
1008,treatment
1182,control
1059,control
1288,control
1151,control
1234,treatment
1280,treatment
1126,treatment
1263,control
1344,control
1181,treatment
1213,treatment
1123,treatment
1293,treatment
1056,control
1184,treatment
1343,control
1161,control
1016,control
1245,control
1335,treatment
1096,treatment
1342,control
1141,control
1216,control
1208,control
1233,control
1164,treatment
1110,treatment
1265,control
1071,treatment
1289,control
1119,control
1101,control
1157,control
1262,control
1323,control
1308,treatment
1103,control
1028,control
1285,treatment
1057,control
1274,control
1104,treatment
1091,control
1200,treatment
1111,treatment
1040,treatment
1087,control
1345,control
1312,control
1202,treatment
1083,control
1356,treatment
1133,treatment
1261,treatment
1215,control
1306,treatment
1122,control
1320,treatment
1082,control
1290,control
1144,treatment
1266,treatment
1299,treatment
1148,control
1221,treatment
1253,treatment
1255,treatment
1205,treatment
1296,treatment
1076,control
